"","Incoming.Examinations","Year","Month"
"20",362,2006,1
"11",436,2006,2
"58",588,2006,3
"24",490,2006,4
"13",508,2006,5
"71",454,2006,6
"69",393,2006,7
"64",596,2006,8
"37",634,2006,9
"30",613,2006,10
"47",545,2006,11
"51",411,2006,12
"1",698,2007,12
"12",467,2007,6
"41",886,2007,10
"44",311,2007,2
"65",776,2007,11
"73",398,2007,1
"77",806,2007,8
"78",566,2007,7
"88",411,2007,5
"92",664,2007,3
"93",680,2007,4
"96",732,2007,9
"89",875,2008,1
"27",840,2008,2
"6",724,2008,3
"54",1115,2008,4
"91",997,2008,5
"36",775,2008,6
"76",886,2008,7
"50",1041,2008,8
"60",1011,2008,9
"87",3110,2008,10
"46",939,2008,11
"8",875,2008,12
"29",1004,2009,1
"61",1065,2009,2
"23",1263,2009,3
"5",962,2009,4
"53",1413,2009,5
"82",1429,2009,6
"95",1205,2009,7
"25",890,2009,8
"39",1320,2009,9
"38",1276,2009,10
"85",1757,2009,11
"59",1523,2009,12
"55",1386,2010,1
"35",1398,2010,2
"68",1578,2010,3
"31",1604,2010,4
"75",1758,2010,5
"2",1530,2010,6
"72",1457,2010,7
"86",1607,2010,8
"17",1808,2010,9
"66",1866,2010,10
"3",1934,2010,11
"4",2294,2010,12
"45",1763,2011,1
"28",2334,2011,2
"42",1973,2011,3
"62",2262,2011,4
"83",2259,2011,5
"16",2217,2011,6
"43",2739,2011,7
"90",2772,2011,8
"9",3383,2011,9
"15",2869,2011,10
"49",2239,2011,11
"34",3393,2011,12
"79",2789,2012,1
"40",3455,2012,2
"18",2940,2012,3
"80",2968,2012,4
"26",3466,2012,5
"74",3037,2012,6
"48",3946,2012,7
"63",3459,2012,8
"21",3446,2012,9
"52",3258,2012,10
"56",4729,2012,11
"22",3694,2012,12
"10",4610,2013,1
"33",4841,2013,2
"81",5172,2013,3
"94",4351,2013,4
"19",5239,2013,5
"32",4727,2013,6
"67",5014,2013,7
"7",4978,2013,8
"57",5008,2013,9
"84",6094,2013,10
"14",4874,2013,11
"70",5933,2013,12
